Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2011-4-25,"Cookies, chocolate chip, prepared from recipe, made with butter","1.00 oz",138.35,,,1.62,0.05,0.02,0.05,0.39,0.07,0.02,9.36,168.40,0.06,,,,10.77,0.11,0.70,15.59,0.19,28.35,62.65,3.18,96.67,0.27,16.50,,,,8.05,19.85,2.34,0.24,1.04,1.29,3.99,,0.03,0.03,0.06,0.11,0.06,0.03,0.08,1.62,0.05,0.02,0.05,0.08
2011-4-25,"Bread, whole-wheat, commercially prepared","0.88 slice",70.56,,,10.92,0.11,,0.05,1.24,0.18,0.06,11.76,0.84,,,0.74,2.18,45.08,0.06,0.69,21.00,0.61,59.36,71.12,7.20,127.40,0.50,11.96,1.68,8.04,1.22,0.98,,0.17,0.04,0.40,0.45,0.20,0.01,,,,,,,,3.49,,,,
2011-4-25,"Pie, cherry, commercially prepared","1.00 piece (1/8 of 9"" dia)",325.00,,,57.75,0.03,0.01,0.04,0.25,0.40,0.05,33.75,333.75,1.12,,0.95,9.50,15.00,0.05,0.60,10.00,0.18,36.25,101.25,1.50,307.50,0.23,49.75,1.00,30.89,17.86,13.75,,7.30,0.17,2.40,2.57,3.20,,0.04,0.06,0.13,0.22,0.15,0.05,0.12,2.50,0.10,0.04,0.10,0.15
2011-4-25,"Rolls, french","2.00 roll",210.52,,,26.45,0.40,,0.23,3.31,0.34,0.03,85.88,,,,0.23,1.37,69.16,0.10,2.06,15.20,0.42,63.84,86.64,21.20,436.24,0.68,38.15,2.43,35.48,0.24,3.27,,1.49,0.03,0.60,0.63,0.73,,0.14,0.14,0.26,0.46,0.18,0.12,0.32,6.54,0.19,0.08,0.19,0.29
2011-4-25,"Fast foods, hotdog, plain","50.00 g",123.50,,,26.98,0.12,0.26,0.14,1.86,0.26,0.03,24.50,,0.05,,,,12.00,0.04,1.18,6.50,0.05,49.50,73.00,13.25,342.00,1.01,9.20,,,,7.42,22.50,3.50,0.22,0.65,0.87,2.61,,0.07,0.15,0.23,0.38,0.32,0.10,0.21,5.30,0.18,0.05,0.14,0.24
2011-4-25,"Bread, whole-wheat, commercially prepared","3.50 slice",282.24,,,43.69,0.44,,0.19,4.97,0.72,0.24,47.04,3.36,,,2.98,8.74,180.32,0.25,2.77,84.00,2.43,237.44,284.48,28.78,509.60,1.98,47.84,6.72,32.18,4.86,3.92,,0.69,0.15,1.62,1.78,0.81,0.02,,,,,,,,13.94,,,,
2011-4-26,"Fish, whitefish, mixed species, cooked, dry heat","1.00 x 3.0 oz",146.20,,,55.33,0.15,0.82,0.13,3.27,0.74,0.29,14.45,111.35,,,,,28.05,0.08,0.40,35.70,0.07,294.10,345.10,13.77,55.25,1.08,,,,,6.38,65.45,2.18,1.75,0.30,2.34,0.99,,0.22,0.61,0.96,1.69,1.91,0.62,0.81,20.80,0.91,0.23,0.70,1.07
2011-4-26,"Rice, white, long-grain, regular, enriched, cooked","1.50 cup",308.10,,,162.20,0.39,,0.03,3.50,0.92,0.22,137.46,,,,0.09,,23.70,0.16,2.84,28.44,1.12,101.91,82.95,17.78,2.37,1.16,66.76,0.95,65.70,0.12,0.66,,0.21,0.03,0.15,0.18,0.18,,0.13,0.15,0.27,0.53,0.23,0.15,0.34,6.38,0.23,0.07,0.21,0.39
2011-4-26,"Cabbage, cooked, boiled, drained, without salt","2.00 x 0.5 cup, shredded",34.50,,,138.86,0.09,,0.06,0.37,0.26,0.17,45.00,120.00,56.25,,0.21,163.05,72.00,0.03,0.26,22.50,0.31,49.50,294.00,0.90,12.00,0.30,8.27,2.85,1.23,4.19,0.09,,0.03,0.02,0.01,0.03,,,0.02,0.03,0.04,0.06,0.06,0.02,0.05,1.91,0.05,0.02,0.03,0.06
2011-4-26,"Puddings, vanilla, ready-to-eat","1.00 container shelf stable 3.5 oz",126.10,,,69.51,0.02,0.15,0.07,0.06,0.15,0.02,1.94,5.82,0.19,,0.29,0.58,47.53,0.02,0.09,3.88,0.01,39.77,63.05,,137.74,0.16,21.92,,,16.46,3.67,0.97,2.22,,0.08,0.08,0.99,,,,,,,,,1.41,,,,
